01:53:11.402  192.168.1.98:自动分配端口失败, ret = -1
02:01:04.678  192.168.1.98:自动分配端口失败, ret = -1
02:01:32.403  192.168.1.98:自动分配端口失败, ret = -1
02:08:52.829  192.168.1.98:自动分配端口失败, ret = -1
02:15:42.948  192.168.1.98:自动分配端口失败, ret = -1
02:26:33.207  192.168.1.98:自动分配端口失败, ret = -1
02:29:04.596  192.168.1.98:自动分配端口失败, ret = -1
02:34:32.803  192.168.1.98:自动分配端口失败, ret = -1
02:38:12.493  192.168.1.98:自动分配端口失败, ret = -1
11:28:23.738  192.168.1.98:自动分配端口失败, ret = -1
15:44:53.489  192.168.1.98:自动分配端口失败, ret = -1
16:08:32.870  192.168.1.98:自动分配端口失败, ret = -1
16:08:48.738  192.168.1.98:自动分配端口失败, ret = -1
17:46:11.775  192.168.1.98:自动分配端口失败, ret = -1
18:01:01.390  192.168.1.98:自动分配端口失败, ret = -1
18:36:19.699  192.168.1.98:自动分配端口失败, ret = -1
18:48:02.825  192.168.1.98:自动分配端口失败, ret = -1
18:48:30.030  192.168.1.98:自动分配端口失败, ret = -1
20:03:36.199  192.168.1.98:自动分配端口失败, ret = -1
20:03:48.826  192.168.1.98:自动分配端口失败, ret = -1
20:04:29.507  192.168.1.98:自动分配端口失败, ret = -1
20:29:41.145  192.168.1.98:自动分配端口失败, ret = -1
20:33:21.304  192.168.1.98:自动分配端口失败, ret = -1
20:35:07.402  192.168.1.98:自动分配端口失败, ret = -1
20:41:07.070  192.168.1.98:自动分配端口失败, ret = -1
20:48:03.953  192.168.1.98:自动分配端口失败, ret = -1
20:48:55.242  192.168.1.98:自动分配端口失败, ret = -1
21:02:13.985  192.168.1.98:自动分配端口失败, ret = -1
21:20:07.298  192.168.1.98:自动分配端口失败, ret = -1
