11:54:18.987  192.168.1.98:自动分配端口失败, ret = -1
12:28:44.606  192.168.1.98:自动分配端口失败, ret = -1
12:33:15.434  192.168.1.98:自动分配端口失败, ret = -1
12:33:44.235  192.168.1.98:自动分配端口失败, ret = -1
12:34:31.372  192.168.1.98:自动分配端口失败, ret = -1
12:34:46.864  192.168.1.98:自动分配端口失败, ret = -1
12:41:00.859  192.168.1.98:自动分配端口失败, ret = -1
12:41:22.869  192.168.1.98:自动分配端口失败, ret = -1
12:42:01.488  192.168.1.98:自动分配端口失败, ret = -1
12:43:32.379  192.168.1.98:自动分配端口失败, ret = -1
12:45:13.529  192.168.1.98:自动分配端口失败, ret = -1
12:48:22.047  192.168.1.98:自动分配端口失败, ret = -1
12:48:35.030  192.168.1.98:自动分配端口失败, ret = -1
12:48:54.776  192.168.1.98:自动分配端口失败, ret = -1
12:50:55.580  192.168.1.98:自动分配端口失败, ret = -1
12:51:54.261  192.168.1.98:自动分配端口失败, ret = -1
12:52:32.043  192.168.1.98:自动分配端口失败, ret = -1
12:54:12.592  192.168.1.98:自动分配端口失败, ret = -1
12:55:38.820  192.168.1.98:自动分配端口失败, ret = -1
12:57:56.747  192.168.1.98:自动分配端口失败, ret = -1
12:58:49.794  192.168.1.98:自动分配端口失败, ret = -1
13:15:30.887  192.168.1.98:自动分配端口失败, ret = -1
13:17:53.066  192.168.1.98:自动分配端口失败, ret = -1
13:19:04.199  192.168.1.98:自动分配端口失败, ret = -1
13:19:32.447  192.168.1.98:自动分配端口失败, ret = -1
13:22:37.790  192.168.1.98:自动分配端口失败, ret = -1
13:24:12.382  192.168.1.98:自动分配端口失败, ret = -1
13:26:13.826  192.168.1.98:自动分配端口失败, ret = -1
13:29:09.833  192.168.1.98:自动分配端口失败, ret = -1
14:56:27.907  192.168.1.98:自动分配端口失败, ret = -1
14:57:33.063  192.168.1.98:自动分配端口失败, ret = -1
14:58:53.730  192.168.1.98:自动分配端口失败, ret = -1
15:01:29.093  192.168.1.98:自动分配端口失败, ret = -1
15:12:52.457  192.168.1.98:自动分配端口失败, ret = -1
15:30:52.085  192.168.1.98:自动分配端口失败, ret = -1
15:31:49.343  192.168.1.98:自动分配端口失败, ret = -1
15:37:40.943  192.168.1.98:自动分配端口失败, ret = -1
15:39:25.801  192.168.1.98:自动分配端口失败, ret = -1
15:43:30.866  192.168.1.98:自动分配端口失败, ret = -1
15:45:33.006  192.168.1.98:自动分配端口失败, ret = -1
15:47:20.486  192.168.1.98:自动分配端口失败, ret = -1
15:49:50.049  192.168.1.98:自动分配端口失败, ret = -1
15:53:26.055  192.168.1.98:自动分配端口失败, ret = -1
15:57:25.416  192.168.1.98:自动分配端口失败, ret = -1
15:58:06.095  192.168.1.98:自动分配端口失败, ret = -1
15:59:15.819  192.168.1.98:自动分配端口失败, ret = -1
15:59:55.711  192.168.1.98:自动分配端口失败, ret = -1
16:02:43.904  192.168.1.98:自动分配端口失败, ret = -1
16:06:25.254  192.168.1.98:自动分配端口失败, ret = -1
16:10:40.607  192.168.1.98:自动分配端口失败, ret = -1
16:18:27.936  192.168.1.98:自动分配端口失败, ret = -1
16:37:31.163  192.168.1.98:自动分配端口失败, ret = -1
16:40:50.568  192.168.1.98:自动分配端口失败, ret = -1
16:44:23.841  192.168.1.98:自动分配端口失败, ret = -1
16:47:53.915  192.168.1.98:自动分配端口失败, ret = -1
16:54:14.574  192.168.1.98:自动分配端口失败, ret = -1
17:07:17.235  192.168.1.98:自动分配端口失败, ret = -1
17:07:47.981  192.168.1.98:自动分配端口失败, ret = -1
17:11:39.942  192.168.1.98:自动分配端口失败, ret = -1
17:12:44.905  192.168.1.98:自动分配端口失败, ret = -1
